,city,area,geoarea,population,climate_class,builtup_area,income_group,orientation_entropy,walk_prox_poi_mean,walk_prox_poi_median,walk_prox_poi_range,walk_prox_poi_std,walk_prox_poi_iqr,walk_prox_pub_transport_mean,walk_prox_pub_transport_median,walk_prox_pub_transport_range,walk_prox_pub_transport_std,walk_prox_pub_transport_iqr,walk_circuity,walk_street_len_mean,walk_street_len_median,walk_street_len_range,walk_street_len_std,walk_street_len_iqr,walk_street_density,walk_street_len_total,walk_link_node_ratio,walk_intersection_density,walk_intersection_count,bike_prox_poi_mean,bike_prox_poi_median,bike_prox_poi_range,bike_prox_poi_std,bike_prox_poi_iqr,bike_slope_mean,bike_slope_median,bike_slope_range,bike_slope_std,bike_slope_iqr,bike_circuity,bike_street_len_mean,bike_street_len_median,bike_street_len_range,bike_street_len_std,bike_street_len_iqr,bike_street_density,bike_street_len_total,bike_link_node_ratio,bike_intersection_density,bike_intersection_count
0,kabul,371,CA,6254679.472,7.0,61.099977,Low income,3.507044818237205,5.2959148184809655,4.0,27,5.134499832583524,5.0,0.3138928275234757,0.0,8,0.8744158037211746,0.0,1.0468867352218183,100.6571435392054,67.40462019679735,3155.7753960029754,105.44291337035038,83.67618378081505,12992.368282107624,4820168.632661929,1.328526712860162,99.35309973045824,36860,17.146776406035666,17.0,38,8.706011902332696,13.0,0.0373948485314831,0.0184427132000071,0.9978111444401596,0.0607958117004654,0.0424462490637729,1.0465548842998806,100.93633642657775,68.48531800792207,3155.7753960029763,103.10059325391134,83.87212453035394,24404.011970694333,9053888.441127598,1.3221399176954731,75.53638814016172,28024
1,tirana,115,EU,995788.7711,8.0,23.655317,Upper Middle,3.509910959425779,31.23104775481112,33.0,58,14.868863302506506,23.0,5.851290092658589,4.0,29,5.744015024299774,10.0,1.0624865088622226,55.56109837968768,37.32814771484211,2228.5793480217108,59.31943445624968,42.38031899806286,16932.12394621334,1947194.2538145343,1.2109479686386315,259.7391304347826,29870,48.33933088680657,53.0,63,13.797687446826878,19.0,0.0440786034573805,0.0248201777010355,0.9975653572273706,0.0683735121880002,0.0579428557788193,1.0620448615211158,64.15026189544251,44.46810224808858,1345.806642432501,64.16600046781438,51.44635615716393,29882.86547599005,3436529.5297388555,1.1605444115865606,156.4695652173913,17994
2,algiers,468,NW,3316231.955,8.0,97.802984,Lower Middle,3.5712598138324685,19.267307050048505,19.0,43,10.919534474140027,18.0,1.5376198730895847,0.0,25,2.8013554510190866,2.0,1.0946037511766271,79.48908758502218,52.90715625777407,5018.30726210668,95.13742916054387,65.38074883845279,13153.235965110474,6155714.431671702,1.3443438985988962,128.89743589743588,60324,35.06311065142308,37.0,51,10.9386883057673,14.0,0.043583307035817,0.026602490748774,0.9852441569107944,0.0589104625506921,0.0570917301058727,1.0963562703738496,84.75092526650327,57.25313078527466,5018.30700336712,100.05164262284916,69.25384832513403,22815.745885313565,10677769.074326748,1.3342075614576214,90.58547008547008,42394
3,luanda,936,SA,11672133.85,6.0,277.573199,Lower Middle,3.544399986207668,4.711464383074553,1.0,41,7.092066468414415,7.0,0.0380392912172573,0.0,8,0.2843356781695996,0.0,1.045000470387987,83.00628922264116,62.62560280418966,5189.2783089458,75.4434294319861,66.21749984640857,16782.878443169226,15708774.222806394,1.4570715301647506,142.97863247863248,133828,14.39956408739224,11.0,47,12.389119329494005,19.0,0.0242993490628462,0.0171061456062681,0.9727013395231678,0.0314749758659915,0.0340065788878435,1.0399989584326048,82.66852074307667,62.848392749364365,5189.2783089458,73.14023402341412,66.0617780235351,32162.02901716948,30103659.160070628,1.4571090455611064,124.58333333333331,116610
4,buenos_aires,2186,LA,14179912.05,14.0,672.908097,Upper Middle,3.17068287019592,19.26738657184501,17.0,61,12.411071938861186,18.0,9.450242986732212,2.0,271,17.37711277691125,12.0,1.0234872762833616,89.89874722466324,85.96205462769903,4706.384543408759,65.55758095679411,68.86511731239702,16001.195635360018,34978613.658897,1.5797472338480332,117.7017383348582,257296,37.18529925874688,38.0,74,13.229162215924092,18.0,0.0241384456029789,0.0148027346105971,0.9937576606969948,0.0362746918779923,0.0240107203871584,1.0189637854663225,98.67342580361526,93.90459648526162,4706.383969473244,66.26055095041956,55.969893268835776,26406.787213929725,57725236.849650376,1.6367906450678158,89.27538883806038,195156
5,yerevan,194,NW,1027656.189,7.0,47.947505,Upper Middle,3.5656431026078206,28.46159761383232,28.0,60,15.594887696743028,22.0,6.2498485342778585,5.0,28,5.653172690399687,9.0,1.087662625640799,74.0528194386182,48.894943982929306,2119.7586966044955,83.21243509273135,66.96788203626988,16774.49046510349,3254251.150230077,1.2807475415948175,188.25257731958763,36521,44.090076817847,45.0,64,13.629157208881708,17.0,0.0428058917858065,0.0279329666337645,0.9761309357459113,0.0570607384505832,0.0495809252017699,1.0936319909390728,88.41700282694899,62.756685976634095,2119.7521518510134,90.87141528841607,74.74719110579174,28839.894442713943,5594939.521886505,1.2657406433056229,105.87113402061856,20539
6,sydney,1378,AN,4375394.497,14.0,317.219992,High income,3.436557788852506,19.27567705171637,17.0,54,11.741083001221186,17.0,6.198037219078205,6.0,45,5.170134422288161,7.0,1.078540635680457,80.66034929899627,51.85596122789825,2612.02574829818,90.43666285773593,80.37370760493161,15159.22878189699,20889417.261454053,1.2804028694329672,166.3788098693759,229270,37.91182376742095,38.0,63,10.930966007117409,12.0,0.0431976520649116,0.0245248697602712,0.9998169324664304,0.0663532181489021,0.0563748063444474,1.068013844370576,90.87882785117044,63.395920491100775,2741.811271913208,96.21706858885342,84.72025427458708,23320.37776400339,32135480.55879668,1.3044987262101004,94.24310595065312,129867
7,vienna,325,EU,2056564.784,15.0,77.679108,High income,3.523059583617873,32.830212015427286,33.0,64,14.048357528782631,20.0,8.927020440424178,8.0,68,7.138968128992099,9.0,1.0563727783868448,54.82384816874352,34.69450611823575,1655.241514623058,62.55083290587518,48.19107872244534,22376.56449102716,7272383.459583827,1.3412445752007085,364.7507692307692,118544,51.78606774399708,51.0,83,15.805233794990786,19.0,0.0384707921537711,0.0198762938766151,0.9823558690010844,0.0620548585326789,0.0505295837216473,1.050920024815079,77.28494289085808,54.10098557996297,1655.241562497121,82.59381851501806,72.65367309327797,27167.44092481871,8829418.300566081,1.3503697617091208,133.0953846153846,43256
8,baku,340,NW,1973053.91,5.0,96.501811,Upper Middle,3.5568257197320454,19.756724002589067,19.0,49,10.786143734652718,17.0,1.5340228333769437,0.0,22,2.7614825672668566,2.0,1.068196878406092,71.77815592109341,51.14528081383647,4080.1211755503496,77.41797279676723,58.27196878118298,17576.992599512698,5976177.483834317,1.229821106413452,206.9205882352941,70353,34.924281079719044,35.0,57,10.98749424658574,15.0,0.0345434222565001,0.0230955638655659,0.97618681931745,0.0441982108010374,0.0473771942685578,1.0660733825798716,74.93670748866077,53.96117207168189,4080.1211755503496,77.45249393559794,58.92173390544109,31329.71498852397,10652103.096098153,1.2187785442061168,126.8,43112
9,nassau,110,LA,261235.2051,3.0,18.273204,High income,3.493470822969498,11.906970025279884,11.0,31,7.362983056741674,11.0,0.2036836403033586,0.0,5,0.5723628983617446,0.0,1.093245860992169,79.87800441243601,57.69470658440113,2052.274186051271,82.79235328666111,67.59391663723031,11877.13309245276,1306484.6401698035,1.2499819429396894,118.86363636363636,13075,29.244119795471143,28.0,46,9.130520790635124,15.0,0.0224814089658291,0.0124280744681307,0.7365511586834392,0.0355151518680072,0.0303360073488878,1.0800922843867051,80.02270453049601,58.73671282217689,2052.274186051271,81.95574802376956,68.50503879119228,22367.800874537825,2460458.096199161,1.245653761869978,88.47272727272727,9732
